Token contract address,Token symbol,Token name,Threshold number for GodLike,Network
0x2aed2307765e2ec509cf88d7a4f2e987ad8fafde,42,42-coin,,
0xc515b3f5be38a1b2b30327f435300ae7e7b172b0,300,Spartan,,
0x6eb4bfa928cb0e92ca0826e4b7e67828c3d57e01,1913,The Federal Reserve System,,
0x6afde9e8732eb8fe6376ae98347e64e2895299d4,$BASED,$BASED,,
0x2b93c15f8cae8dfa565f6530e0bc6f8291366913,$HAM,HAM.MONEY,,
0x3c2b3d4289ac2d03fbc9b7f4a5e3c4935e4f0615,$nBASED,$NewBASED,,
0xe5ba0689485b4785f4e8859ee7e1a65b96d6e7b4,$PONZI,Ponzi Scheme @ Ponzi.Finance,,
0x9d47894f8becb68b9cf3428d256311affe8b068b,$ROPE,$ROPE,,
0xb6aa337c9005fbf3a10edde47ddde3541adb79cb,$STKF,xSTAKE.Finance,,
0x030385efc63ebda6021d9098b1fcc422547d83d3,$TACO,Tacos @ Taconomics.io,,
0xbebac860dc2d572ad5e160d5d8368f8e95f85167,$WAGE,Wage.Money,,
0x3d4a076a01b303259046b548c8d759a1c77c32fa,$WILDY,Wildy,,
0xd964bf5f85c024815089148031137ae6d269b08b,0VT,Zero Value Token,,
0x11974789c1ae7796d44726d9091ac25fbb0c0865,100X,100X CASH,,
0x5f7f20302c8ef418fa117ecb842fc291f8140abf,12XCOIN,12XCOIN,,
0xc5b183c6e0a5908d6ee40a7f7a831ac6b08100fe,1inch,1inch Exchange Token,,
0x48bcb97e63f91c8e064307e9ff35e86e4cab6f98,5XCHAD,5x Chadcoin,,
0x7ad6df602fd87b1b0b0af11b0b82b1f6a327e1f9,AAA,AAA,,
0x8d96b50cb9e2df4adc1a9cd7c1610b79e4c0db87,AAPL,apple.finance,,
0x8e54954b3bbc07dbe3349aebb6eaff8d91db5734,AAU,AmpleForthGold,,
0x5c2e024d836e651629f0dc18273068424087ac2e,AAUS,Aphalius.finance,,
0x769fa76971d524a6c7886688dac8cebacc4c020a,AAVE,AAVE.COM,,
0xc593505dc0368381e723f71d404284d13f81224e,ABC,ABCFinance,,
0x6458636ccb3dd6d948877c866aee440d4b7dd280,aBTC,Bitcoin Token,,
0x2f48f520d1917a46d890e7b685d2b2a890b70086,ACA,Acala,,
0x9418d1fa8e0a39c100fc7f3acc1b7ba92fb6b7a7,ACAA,ACAA.finance,,
0x95c5cd1f07e50073e42e902fc71359c9c90bbbab,ACALA,ACALA,,
0xa30ab5e7b30445315c27e170dcac4d771d03fd96,ACO,AcoFinance,,
0x691f7b3ae798ebe1bc6bb2723d4e3041a5e4fd4c,ACT,Acarty Protocol,,
0x062b8c0a296d56d443c95877b5c8209631d5e6f3,ACTE,Artic Trade,,
0xade00c28244d5ce17d72e40330b1c318cd12b7c3,ADX,AdEx Network,,
0xa52676ba9876840cce96e177a48555162b6a5cda,AFAK,Afalos.network,,
0x49bdb39a10e89cdeac430edf2d4e9da56f4bb7db,AFAL,Afalos.network,,
0xd5b7eb1dce7421379cde13fd29a5848a22aff0fb,AFE,Astro Finance,,
0x1a3d2d5359f9a0ec0a28414f028707ba77b2009f,AGA,AGA Token,,
0xb453f1f2ee776daf2586501361c457db70e1ca0f,AGAr,AGA Rewards,,
0x4ac80c3e242150450d5d3fd9bcb89c33fccd9509,AGP,Agile Protocol,,
0xe6651dbc723669c82ae25e036c4cb21653cfb8b3,AGS,Aegis.finance,,
0x760f1b90da0bbb98f82662a50de03da0bdae0236,AHN,AngelHashNetwork,,
0xe4e915fd305693492ca0bf1cbbd2bf420f7d7818,AINF,AIN Finance,,
0x13f6a2cbac2d71a8068d8e9776a18b0c3602e1c1,AIRO,AIROCoin.tech,,
0x39a9e9583405d1ec12e3f018a2fcf89a4e2628b7,AIY,aYeld.finance,,
0x47512b788d4daea33a582238069bddd36d020d64,AKA,avastars.io,,
0xab63c325a492ba27788a7da006aea8b493adae9b,ALC,AmpleCapital,,
0x23f1415241672ced42e0a34e47cc210db0bf69aa,ALI,ali.finance,,
0xef822ad8a31c19bad185515694b58318bbab6116,ALLIN,allin,,
0xda6c75753991d2beee9a23cc292bf1b418c53d65,ALN,Aluna Social,,
0x1a50def2bd52df80a291a03bb391c4310a9310e3,AMA,amazoncoin.io,,
0xf27c8a87bcf259f8b02f62b969a8404d15054d0e,AMONG,among.finance,,
0xd3fb5cabd07c85395667f83d20b080642bde66c7,AMR,AMMBR,,
0xeda420361d47eed6fecc1201c84c25a57e53da09,amtr,amtr,,
0x92b929275766223ed25da776b9923eb430a1b08b,ANAL,Anal Token,,
0xc64f78ef3b16ad516f9064fc2e6e90f49be6422b,AND,ABSOLUTELY NO DUMPS,,
0x128dca40805845c5257048959f933102256eca69,ANK,Aurora Network,,
0xaa190e49c913ae9661738e523aeb6a81f06ccbe3,ANKR,Ankr.com,,
0xd370e93c2e30b5ff6f6987733cfc3418661e8e7d,ANT,ANC Token,,
0x582d4a3f546f130e29f0b29cce6c654f7513e05f,ANY,Anyswap,,
0x753e4af4f7b912442c4ce508535daa426b28ac0e,ANYC,AnySwap.Curve,,
0xee306bb5cd039fd7c7514fe4ae569aed583a2317,AOCS,aocs,,
0xc3ad3caf615f207d685ee0950b0d6f92f106f8d5,AON,AngelOracle Network,,
0x159b67bb724307e5d614f9483da0c9842e74db88,Aopx,AopxCoin,,
0x81b65787e52a60d885f291dfe7cfb62c08259c5d,AOR,AngelOracle Network,,
0x190cf69b1f5dd1dc652260c5e88f80a28850ab5d,APEX,Apex Network,,
0xa0ac13dbb25c8e4b29b8e5a0c2a68afd061ef4c7,APL,Apollo Finance,,
0xbdf1cf8b021dcf2d6c0704109925a46d2a592dbe,APML,Apmleforth,,
0xc3a0618bf43269865718669e08d5e67005f581f4,APN,Apastron Network,,
0x2d0917480d7b52d15228ceddf42944743f1c5a73,APON,Aponchain,,
0x2ece3fb6f8f6118591468873b9d115226ff4c39c,APPLE,APPLEMANGO.FINANCE,,
0x2dc44bff272a484cdfbeb9c84c50a4880930b657,APX,Auspex Network,,
0xd285333e12bdf113fac49fb2cc6b99d94502b2b3,APY,APY.Finance,,
0x5d9c53d8f40984e7fa9b1027211782a10f34a6df,ARC,arcx.money,,
0x7a418d025d96aa34575c7c8497c589de5267b63b,ARCH,Architectural coin,,
0xa9ff725189fe00da9c5f27a580dc67fea61e3fb2,ARM,Armors Token,,
0x0c37bcf456bc661c14d596683325623076d7e283,ARNX,Aeron,,
0x6828ba08d46f3075c43196689484566099f2ff30,ARS,artemi.finance,,
0xa94a2183cb66b2e897b121a1cdb72e7047b1037f,ARTS,Art Studio,,
0x7ee352f173c9b7c666248547fa681f43ebe72978,ASDF,ASDF Token,,
0xf0cf5224c61a50a425bcabfb62aafe322f59f36c,ASNA,Arty snar,,
0x3728e302262ee86e24eaf460e8bffd57dfe3925d,ASP,AtomicSwap,,
0x564afa8f944b7922243fcabfda0a44fb7745e439,ASX,ASX.finance,,
0xd87fd842a131e1b65971cf505f2d9386fc30d9d0,ASY,ASY.finance,,
0x5f328edd04d68febcf49c8bdd453065939d4d49c,ATN,Astrolla Network,,
0x5ffcc0d2101f45e7b2425f1bf07eee9abc2d5002,ATOD,dato.asia,,
0xdf3a0a958f5a599aa8f3071aa6488c22416efb89,ATTN,ATTN,,
0x525428e0ad6ac998a4862202890287b51c140b9b,ATX,Atomix Network,,
0x2a9bb210921c6d4f80ec0a84b192f138e2f67ed5,AU,Aurum,,
0x777f5591f0743b08701aa37eceaec82b0153f65b,AUDT,Auditchain,,
0xeddada2d6fe2a88924fffcf308c9ecfc417f0a71,AUFI,AUTEM DeFi,,
0x296317c30d2fabbf265bd160e17ed7d2b4886280,AUSD,AUSD,,
0xe47d5c4f4c2ae421cd4437e9d7fe8583b1b42fed,AUTEM,AUTEM.network,,
0xe3ac2a59bae30450772047e99e8b15ca3113dfd7,AUX,Aquila Protocol,,
0x10f9c5ef2f84376948b55be1d6ff8cda469c0703,AVAS,Avastars,,
0x2fd851d98211038ef59a0755584888350d14b71c,Avocado,AvocadoSwap.org,,
0x7384fda4305c95c5c9a777aea07ae0389700a9b8,AXIA-V2,AXIA TOKEN (axiaprotocol.io),,
0xecc0f1f860a82ab3b442382d93853c02d6384389,AXIS,AXIS,,
0xe67eb2c2a5dee760e525169188d19bb556026a07,AXRT,Alluvium XRT,,
0xc210b05e093a164cfa11c18180c37bf15a98e414,AZBP,Azbi Balance Pool,,
0xe5556ab0d831454cefbb986201bf9daa0eec52a1,AZFF,AZBI FUNCTION FARM,,
0x1c429466c2b6608838fd086cc24e4bb4cd069664,AZFM,AZBI Farm Mining,,
0xdcd06963656706091f13de6f7acc25fa25d27d86,AZM,Azimuth Network,,
0xc47828014f40322fc24d9c2340ef29d754d67cf4,B52,B52,,
0x4de552184f06abf0367792a718c9a6ac20e3fd66,BAA,BaaToken,,
0xf62a21f457ea3d6d365bcf0c9e75d870430ca579,BABY,baby,,
0xc7594188854c2e28e41123fa89d34f2884a588fc,BabyB,BabyBoss,,
0xd8e1c43a29dc0311dcadbaccc8c3b677cd462a1b,BAL,BAL Token,,
0x3d8a4dbad3189e8bc07319e7d198a3c280998c2f,BAN,Bancor Network,,
0x2501e303708445caf8117d1ec8d3acb6b80e8da4,BANA,Banana Farm,,
0x3137398e81fdeb7cba0df153ab8a607b3133f2ee,BANANA,Banana.Finance,,
0xc74c2cb91441dffd21c380817d28481b0a90d429,BAND,Band Protocol,,
0x2bb8359cd1e27c7cf23d5da092d6e3653b6e9ea9,BANG,BANG,,
0xeb5873ae9ecb74a94fc88eeca67b6791ab25667c,BART,BART,,
0x0a8f2254f5cd2843d808fd224cd8f252ecea6683,BASED,BASED,,
0x7f7ce4061af64a23f49591da71e90b7dd2419512,BASF,Basil Finance,,
0x5ed664ec443302c2fc783daeb36d7ecf0e842398,BASIC,BASIC.finance,,
0x0bb39329a8dd225e12b196ef55776d191b060940,BATC,BAT USDc Curve,,
0x98cc3c7c084742a1ca4154df8c6dab9f4dffab98,BBB,BoomerBucks,,
0x54a483150471d3f2eeea6c3093bab96332935311,BBUB,BigBeauBanana,,
0xc7cb792588647522ac14d89f69192b3ed4892a56,BCAA,BCAA.finance,,
0x8aafb952f6f3be554aca3ac2ba0506e20f2bdcd6,BCG,cgturbo,,
0xc4a6d2bd3abf791e6fce79fab94d7e598ee45860,BCS,BigCoinSwap,,
0x34cf6994968d733519b5052dbd13a41015136463,BCSS,B CSS Token,,
0x1d6bf09366ee5acbbfb6d0fcc5054faee11827a1,BDC,BigDataCash,,
0x7e9ab6f6d3e2b564a4134946f99deff720b45463,BEANS,beans.farm,,
0xc667507ef2e6e847bc1da16d49b2933c6adc019d,BEEF,Beefchop Finance,,
0x790d0769754b437246f6cc47c9054c7e1d96b3cc,BEF,BigEarn Finance,,
0x7477f6fb31a2f78cd232d1ef45d24a84fc19d451,BEL,Bella,,
0x61ec4ff7fc1b2587e127ef5396f02a5b5c9016f5,BELLA,Bella Protocol,,
0xdb5163b60b3d36db8f1486d904ac3f711efabf60,BergF,Berg.finance,,
0x81c0edfa7aabb17e4bb0cfb956116191c5b7543f,BERRY,BERRY.FINANCE,,
0xeb6a9769a43a80147b2a59052f3004c34ab147ba,BET4,BETTING 4 FUEL,,
0x4a08c31c134af24a9913d47bf2f9885f4bb33cf5,BETF,TheBETDefi,,
0xe853f71996f4bae84da2f1c9218ddcf5b486dacc,BETN,Behance Token,,
0xbf1f2a5cb4537970898b4451b45224e96e0aee7a,BEYFI,bean.finance,,
0xd670779338e6c089da12694d30935393e4489a22,BF,BF,,
0x438691e8d9098dce98286cbc1c307e660cf0bbd8,BFAN,Be.fan,,
0x5cc008904d3eb2120635df882e4e549aa254a450,BFF,BOMB Finance,,
0x2b2b0559081c41e962777b5049632fdb30f7e652,BFi,BitDEFi,,
0xafc55e4d67e2084f4ba8afceadb985ec4cd0b83d,BFI-A,BFI-Alpha,,
0xac8827e20ef8416709efa60e357a58dd98e06390,BFI-T,BFI-Theta,,
0x6dd2c1b1ba3fd53504fac1b15b0b76d52064bf8f,BGM,Blockgame.one,,
0xd15585d010b6eaf21a6681d3cf3c71f1aaa353fa,BGN,Bridge,,
0x67bb091887c425fa4e30e85b51c9bca9abca8292,BHN,BellaHashNetwork,,
0xea5d44f41c62483d72de416d7aceb670fbf6fd3a,BHST,Blackhole Swap Token,,
0x40d52577830e01aaefa80659aa90ee8b34685f4e,BIA,Bilaxy Token,,
0x4ee8a12f8c5877788c079ce7db3cf517544091ba,bid,bidaochain.com,,
0xecbcc9a826254ede5a39fa0c9699abfa46056e22,BIDN,Bidencoin,,
0xbbb6cb6a9f3ad1837b14693298c9e67331cabd9c,BIDU,baidu.finance,,
0x4b87bbb2bbf04185b2510dd880a2b308d124dace,BigDumbCoin,BigDumbCoin,,
0xed3c90c5f02d7286eb0106bed0390a3d3dc0e77c,BINT,Binttrade,,
0x5df319c40add228b6392fd8e13d4e64fa5ba5b40,BitFi,BitFi.Finance,,
0xc48df5af3ad6e40603b1051d8fdd280861e0db06,BIZ,BIZcoin,,
0xf8ddc7f8dd0c46faadb19b3254e5586aa7099467,Bkash,Bkash Cash,,
0x646b41183bb0d18c01f75f630688d613a5774dc7,BKY,BLUEKEY,,
0x67520370d9ea0bf4849b789d4d42be0b237d84f1,BLM,Block Lives Matter,,
0xf8ad7dfe656188a23e89da09506adf7ad9290d5d,BLY,Blocery Token,,
0x5913d0f34615923552ee913dbe809f9f348e706e,BMJ,BMJ Master Nodes,,
0xe76a999be9948f8909966497e3c270d77e5489c6,BMY,BMY Chain,,
0xaf89182fd074587c67f9adc64ce954b8b579e9e4,BNDN,Bonded.Network,,
0x544cda8048806061d72d63b0def8643b8384e230,BNFI,Burnefi.finance,,
0xb89bfb667ed8c99918c7ec2fe11885f6ee76adcf,BNS,BNS Token,,
0x6867958907fb5a7064748388221da5209184409e,BOBA,bobabet.dcl.eth.link,,
0x96bb5416bad344de406e1dc9aa5b721234553c9f,BOF,BaoFuOvernight,,
0x2dc4c088e4bc1420fdae733ff449fa0320dc63a6,BOG,Bogdanoff Token,,
0x0e5ad274d1fc232555286246be0bad3affb2f4cc,BOMB,bomb.finance,,
0x5c84bc60a796534bfec3439af0e6db616a966335,Bone,Bone,,
0xaa447665ea0e9bbb7f756f72d12fc6d9f4b8c9a9,book,BOOK,,
